146  ALL-INDIA  RAINFALL    (1871-2016)          30 SUBDIVISIONS AREA 2880324 SQ.KM.                        
 Monthly,Seasonal and Annual rainfall (in 10th of mm) 1871-2016 (1871-2014 based on 306       
 stations and 2015-2016 based on IMD Subdivisional rainfall)                                  
----------------------------------------------------------------------------------------------------------
YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    JF   MAM  JJAS   OND   ANN
2010    125     1    91   445  1261  1807  2516  2060  1734  2165  2678   794   126  1797  8116  5637 15677
2011     73   191    52   753   653  1551  1992  1984  1339  1638  1351   365   264  1458  6866  3354 11942
2012    102    13    54   602   462  1248  1404  1985  1262  1950  1209   223   115  1118  5899  3381 10514
2013     35   273   198   244   636  2152  2056  1509  1786  1910   856   181   308  1078  7502  2947 11836
2014     39    37   120   238  1186  1110  1822  2151  1364  1951   671   333    76  1544  6447  2955 11022
2015     37    13   211   856   943  1808  1074  1337  1535  1205  2693   621    50  2010  5754  4519 12332
2016     33    19    47    73  1068  1971  1571   936  1031   515   227   430    52  1188  5509  1172  7921
----------------------------------------------------------------------------------------------------------
     Values are up to 1 decimal                                                               
----------------------------------------------------------------------------------------------------------
MEAN    109    90   137   391   857  1653  1896  1581  1478  1804  1213   414   199  1386  6609  3432 11628
P-Ann     9     7    11    33    73   142   163   136   127   155   104    35    17   119   568   295  1000
 SD     141   125   154   210   424   326   433   431   445   591   655   318   189   455   981   926  1368
 CV    1297  1390  1127   537   495   197   228   272   301   327   540   766   950   328   148   269   117
----------------------------------------------------------------------------------------------------------
